cnpj,razaoSocial,objetoCompra,anoCompra,valorTotalEstimado,valorTotalHomologado
00394544000185,MINISTERIO DA SAUDE,"Item 1 - escalpe n° 21 / item 2 - escalpe n° 23 / item 3 - escalpe n° 27 / item 4 - escova degermação, c/ pvp-i 1% / item 5 - cateter oxigenoterapia, tipo oculos infantil",2022,40406.3,3376.0
32784905000196,CONSELHO REGIONAL DOS TECNICOS INDUSTRIAIS DA BAHIA - CRT-BA,"Aquisição de eletrodomésticos de copa/cozinha, conforme condições, quantidades, exigências e estimativas, estabelecidas neste instrumento, destinados ao atendimento das necessidades do Conselho Regional dos Técnicos Industriais.",2022,3100.0,2037.0
26474056000171,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,"Estantes metálicas em aço, próprias para armazenamento de livros, para uso em biblioteca, atendendo as seguintes Especificações: Nº de prateleiras: 6; Altura total: 1,98cm; Largura mínima: de 0,92cm a 96.5cm; Profundidade total: de 32 cm a 33cm; Peso suportado por prateleira:55kg a 100Kg; Comporta prateleira extra; Prateleiras reguláveis; Sapatas Reguláveis; Prateleiras reforçadas confeccionadas em chapa 24 com colunas em chapa 14; Com reforço em X; Pintura Eletrostática Antiferrugem",2022,14142.73,
10882594000165,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO","Aquisição de kit de materiais para instalação de painéis fotovoltaicos para o Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - IFSP Câmpus Caraguatatuba conforme condições,quantidades e exigências estabelecidas no Aviso de Contratação Direta e seus anexos.",2022,27019.94,23987.0
13937032000160,ESTADO DA BAHIA,"Aquisição de combustível tipo gasolina comum, para abastecimento de veículos próprios, locados ou cedidos à serviços desta Casa Legislativa.",2022,34950.0,34650.0
01614441000146,MUNICIPIO DE JENIPAPO DOS VIEIRAS,Contratação de empresa para aquisição de brinquedos didáticos para as escolas de educação infantil da rede municipal de ensino para atender as necessidades da Secretaria de Educação do Município de Jenipapo dos Vieiras/MA,2022,934374.15,
13832071000100,FUNDO MUNICIPAL DE SAUDE LAGOA DE SAO FRANCISCO,AQUISIÇÃO DE EQUIPAMENTOS MATERIAIS PARA AS UNIDADES BASICAS DE SAÚDE E SECRETARIA MUNICIPAL DE SAUDE ,2021,38046.0,46660.0
27759281000117,INSTITUTO DE BENEFICIOS E ASSISTENCIA AOS SERVIDORES MUNICIPAIS DE CABO FRIO - IBASCAF,"[LICITANET] - Locação de sistema de gerenciamento eletrônico de documentos, em formato SaaS, para gestão da comunicação, documentação e atendimento dos usuários internos e externos do IBASCAF",2021,47250.0,0.0
27759281000117,INSTITUTO DE BENEFICIOS E ASSISTENCIA AOS SERVIDORES MUNICIPAIS DE CABO FRIO - IBASCAF,[LICITANET] - Locação de sistema de controle de atendimento médico e odontológico aos servidores municipais de Cabo Frio.,2021,42756.0,0.0
25654344000145,PERDOES CAMARA MUNICIPAL,"Contratação de empresa/profissional para a prestação de serviços referentes a fornecimento, manutenção e hospedagem de software para atender as demandas dos serviços prestados pelo setor de contabilidade/tesouraria.",2021,31800.0,31800.0
00394429000100,COMANDO DA AERONAUTICA,Serviços de pintura de forro do prédio do comando,2021,4520.0,3575.99
00394429000100,COMANDO DA AERONAUTICA,Aquisição de cama de solteiro em madeira maciça,2021,19850.67,11984.0
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,"Consultar termo de referência (Aquisição de equipamentos com instalação de conjunto condensador e evaporador de 3 TR, trifásica de 380V, frequência de 60 Hz, incluindo sistema automatizado de alternação por horas trabalhadas entre sistema existente e sistema novo, para atuar com temperatura entre -30 °C e -20 °C, servindo uma câmara fria de congelamento já instalada no Laboratório Chagas do Hospital das Clínicas de Goiás)",2022,38080.0,36500.0
46379400000150,ESTADO DE SAO PAULO,Aquisição de umidificador de oxigênio e fio guia ,2022,22800.0,
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,"Contratação de empresa prestadora de serviços técnicos de qualificação de desempenho de equipamentos de limpeza, termodesinfecção e esterilização instalados no Hospital Universitário Dr. Horácio Panepucci da Universidade Federal de São Carlos – HU-UFSCar.",2022,16623.33,
03204421000122,INST. NAC. COLON. REFORMA AGRARIA - INCRA,"Prestação de serviços técnicos especializados de manutenção preventiva e corretiva mensal para elevadores, não incluindo aplicação de peças.   3 ELEVADORES/ FABRICANTE: ATLAS SHINDLER/ LINHA: RELÊ CC / DESTINAÇÃO: PASSAGEIROS/ CAPACIDADE: 770KG - 9 PESSOAS / VELOCIDADE (m/min.): 75",2022,0.0,1000.0
00394429000100,COMANDO DA AERONAUTICA,"Aquisição de material de consumo odontológico, para atender às necessidades do Esquadrão de Saúde de Salvador.",2022,10624.66,5218.56
10735145000194,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MARANHAO","Contratação de serviço de substituição de braço de carteira, com fornecimento de todos os materiais e mão de obra, para atender às necessidades do IFMA Campus Santa Inês, conforme condições, quantidades e exigências estabelecidas neste instrumento e conforme Anexo I deste Termo de Referência.",2022,25393.0,16900.0
01409580000138,ESTADO DE GOIAS,"Aquisição de material gráfico: ITEM I - Papel adesivo brilho, 190GR, 66CM X 96CM. Quantidade: 40 pct (pacote com 100 folhas).  ",2022,13600.0,
00394452000103,COMANDO DO EXERCITO,"Manutenção de câmara frigorífica, com substituição de compressor hérmetico( MT-40 DANFOSS 3,5 hp, 220V, R22), substituição de filtro secador 1/2 rosca. Instalação de 3 conjuntos relés e protetor térmico. Revisão e manutenção de 3 painéis elétricos. Todo o material para execução deverá ser novo e fornecido  pela contratada. Garantia de peças e serviços por no mínimo 6(seis) meses. ",2022,19839.32,13400.0
